,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Mulligan Stew,In Person,Gene Krupa,2014-03-21,238600,0,0.526,0.752,0.526,0.294,0.331,0.233,-13.438,0.0317,128.192,4
1,"Sing, Sing, Sing",The Essential Benny Goodman,Benny Goodman,2007-05-22,520293,53,0.62,0.853,0.62,0.67,0.896,0.156,-11.575,0.0591,113.492,4
2,Don't Be That Way,The Essential Benny Goodman,Benny Goodman,2007-05-22,201586,38,0.689,0.87,0.689,0.267,0.866,0.0766,-11.567,0.0728,162.677,4
3,Begin the Beguine,Begin The Beguine,Artie Shaw,1987-09-01,196160,51,0.629,0.912,0.629,0.155,0.382,0.454,-15.917,0.0514,140.933,4
4,"Take the ""A"" Train",The Collection,Duke Ellington,1984-01-01,177573,39,0.637,0.95,0.637,0.309,0.248,0.104,-12.342,0.0383,83.853,4
5,Tea for Two - 1996 Remastered,The Complete RCA Victor Small Group Recordings,Benny Goodman,1997-09-18,185693,36,0.769,0.902,0.769,0.493,0.232,0.067,-9.542,0.0298,129.344,4
6,Moonlight Serenade - 2005 Remastered Version,In the Mood,Glenn Miller,1939-09-01,204240,52,0.228,0.896,0.228,0.263,0.317,0.103,-10.12,0.0275,83.903,4
7,Pennsylvania 6-5000,Pure Gold,Glenn Miller,1980-04-09,192240,45,0.707,0.889,0.707,0.279,0.388,0.153,-12.738,0.14,146.2,4
8,Let's Dance,Ken Burns Jazz-Benny Goodman,Benny Goodman,1928,152546,34,0.527,0.981,0.527,0.478,0.888,0.0887,-7.398,0.0617,203.12,4
9,Minor Swing,Djangologie Vol6 / 1937,Django Reinhardt,1970,196626,55,0.58,0.933,0.58,0.47,0.743,0.098,-8.787,0.168,202.376,4
10,I'll See You in My Dreams,Djangologie Vol9 / 1939 - 1940,Django Reinhardt,1970,153333,51,0.765,0.931,0.765,0.522,0.913,0.102,-12.037,0.0339,112.747,4
11,Stompin At The Savoy,B. G. In Hi Fi,Benny Goodman,1990-01-01,195533,53,0.525,0.836,0.525,0.222,0.0799,0.051,-11.065,0.0373,156.364,4
12,Chicago,The Best Of Benny Goodman,Benny Goodman,1997-01-01,179840,48,0.595,0.943,0.595,0.285,0.729,0.164,-11.216,0.0501,160.532,3
13,I Didn't Know What Time It Was - 78 rpm Version,Cafe Society (Original Motion Picture Soundtrack),Various Artists,2016-07-08,198066,32,0.597,0.942,0.597,0.232,0.0211,0.139,-9.176,0.0296,109.987,4
14,Where Or When,Small Groups: 1941-1945,Benny Goodman,1989-03-28,200600,50,0.461,0.991,0.461,0.00861,0.146,0.104,-28.227,0.0345,79.975,4
15,Clarinet a la King - Instrumental,16 Most Requested Songs,Benny Goodman,1938,172266,33,0.6,0.981,0.6,0.246,0.798,0.396,-15.538,0.0514,98.211,4
16,We'll Meet Again,The Complete Recordings 1941-1947,Peggy Lee,1941,197440,31,0.727,0.931,0.727,0.236,0.0161,0.114,-11.003,0.0288,132.163,4
17,Let's Dance,The Essential Benny Goodman,Benny Goodman,2007-05-22,152960,38,0.517,0.98,0.517,0.431,0.856,0.0945,-9.537,0.0551,203.05,4
18,All The Cats Join In,The Best Of Benny Goodman,Benny Goodman,1997-01-01,262893,40,0.61,0.758,0.61,0.4,0.23,0.0611,-9.459,0.0618,177.662,4
19,Amapola - Rechanneled Stereo Version,Benny Goodman & Helen Forrest --The Original Recordings Of The 1940's,Benny Goodman,1974-02-28,179640,31,0.596,0.943,0.596,0.284,0.000139,0.323,-13.06,0.038,135.089,4
20,And the Angels Sing - Remastered,King Of Swing,Benny Goodman,2002-03-03,190813,34,0.607,0.877,0.607,0.391,0.00767,0.204,-11.81,0.102,118.47,4
21,Moonglow - Previously Unissued,The Essential Benny Goodman,Benny Goodman,2007-05-22,191040,33,0.6,0.993,0.6,0.1,0.689,0.104,-21.642,0.0517,112.294,4
