,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,17,Nature Strip,Traffik Island,2019-02-15,171786,6,0.316,0.102,0.316,0.805,0.000554,0.0716,-5.282,0.0319,84.744,4
1,Devil And The Sea,St. John Green,St. John Green,2014-09-23,137160,36,0.515,0.356,0.515,0.376,2.78e-06,0.37,-12.562,0.0339,134.86,4
2,Shelter Song,Sun Structures (Deluxe Version),Temples,2014,190558,45,0.491,0.000212,0.491,0.899,8.52e-05,0.167,-3.315,0.0373,126.061,4
3,Peace Blossom Boogy,The Babe Rainbow (AUS),Babe Rainbow,2017-09-01,194280,57,0.661,0.041,0.661,0.821,0.0333,0.105,-4.565,0.0307,112.011,4
4,It's Not Easy,Try And Love,Ofege,1973,265493,0,0.569,0.392,0.569,0.696,3.8e-05,0.115,-9.304,0.041,80.324,4
5,Time of the Season - Mono Version,Odessey and Oracle,The Zombies,1968-04-19,214026,66,0.537,0.142,0.537,0.7,1.58e-06,0.383,-6.852,0.0366,117.111,4
6,Warmth of the Sun,Warmth of the Sun,levitation room,2018-04-27,168070,46,0.347,6.5e-06,0.347,0.737,0.277,0.166,-4.74,0.0324,123.183,4
7,How Great Thou Art,You Won't Believe it,Sensational Saints,2014-09-30,210236,16,0.494,0.37,0.494,0.491,0.00118,0.526,-11.228,0.0337,149.559,4
8,Less Young but as Dumb,Wideass Highway,Dougie Poole,2017-02-17,240450,0,0.481,0.769,0.481,0.46,0.267,0.136,-8.363,0.0284,78.514,4
9,Forge Your Own Chains,The Truth,D.R. Hooker,1972-01-01,282973,0,0.599,0.429,0.599,0.669,0.137,0.209,-11.537,0.0568,82.569,4
10,"If You Don't Know Now, You Never Will",Raw Honey,Drugdealer,2019-04-19,292146,26,0.554,0.477,0.554,0.341,0.0168,0.112,-10.859,0.033,140.301,4
11,"Louie, Louie",Guantanamera,The Sandpipers,1966,167573,30,0.3,0.786,0.3,0.27,0.0275,0.169,-15.584,0.0307,176.406,4
12,Dinosaur,Captain,Fog Lake,2018-07-05,194000,43,0.276,0.529,0.276,0.522,0.853,0.13,-7.664,0.0383,181.797,3
13,Rolling On,Young Blindness,The Murlocs,2016-03-18,199786,3,0.242,0.00495,0.242,0.792,0.00015,0.0899,-4.986,0.0318,187.63,4
14,Green Sugar,House in the Tall Grass,Kikagaku Moyo,2016-05-13,474000,42,0.496,0.517,0.496,0.572,0.11,0.402,-9.65,0.0354,124.394,4
15,Shalala,Mercy Mountain,Moses Gunn Collective,2015-08-07,228015,57,0.452,0.0192,0.452,0.729,0.0583,0.115,-5.6,0.0304,84.005,4
16,After Sunrise,"Psychemagik Presents: Magik Sunset, Pt. 1",Psychemagik,2015-04-27,337925,17,0.531,0.383,0.531,0.775,0.663,0.0897,-7.952,0.0422,152.7,4
17,Elegy,Timeline,Mild High Club,2015-09-18,171506,35,0.675,0.782,0.675,0.287,0.0409,0.136,-11.836,0.0335,95.304,4
18,People Move Along,Cosmic Blip,Pipe-eye,2015-09-25,213713,0,0.609,0.0276,0.609,0.695,0.535,0.286,-7.36,0.0343,117.742,4
19,Nina Nana,Forge Your Own Chains: Heavy Psychedelic Ballads And Dirges 1968-1974,Top Drawer,2009-11-17,195959,21,0.37,0.755,0.37,0.846,9.31e-05,0.124,-6.078,0.374,190.25,4
20,Seems Like You've Made Up Your Mind,Seems Like You've Made Up Your Mind,Sunbeam Sound Machine,2019-03-20,177691,17,0.393,0.32,0.393,0.534,0.1,0.229,-7.719,0.0328,114.7,3
21,"19, 8",Take My Hands and Tell Me,Los Walkers,2010-09-09,175853,0,0.447,0.0576,0.447,0.497,0.00193,0.169,-8.151,0.0445,110.892,4
22,Haunted Love,Blue Material,Blue Material,2019-04-19,272033,24,0.781,0.144,0.781,0.571,0.77,0.0931,-8.479,0.0261,102.005,4
23,The Way the Wind Whips,Blac Rabbit,Blac Rabbit,2017-12-22,271428,36,0.153,1.24e-05,0.153,0.644,0.209,0.127,-8.528,0.0366,167.746,4
