,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,1612,Fugue State,Vulfpeck,2014-08-26,199639,58,0.177,0.678,0.392,0.0045,0.0839,-11.328,0.274,171.274,4
1,Animal Spirits,The Beautiful Game,Vulfpeck,2016-10-17,190801,57,0.156,0.751,0.713,9.59e-05,0.0508,-7.333,0.0544,100.856,4
2,Back Pocket,Thrill of the Arts,Vulfpeck,2015-10-09,181259,63,0.478,0.839,0.585,0.00281,0.0435,-7.738,0.153,89.821,4
3,Wait for the Moment,My First Car,Vulfpeck,2013-12-06,230676,60,0.501,0.773,0.36,0.00409,0.0823,-9.722,0.0955,79.207,4
4,Dean Town,The Beautiful Game,Vulfpeck,2016-10-17,213302,57,0.499,0.796,0.608,0.887,0.0979,-10.936,0.041,108.756,4
5,3 on E,"The Joy of Music, The Job of Real Estate",Vulfpeck,2020-10-23,177791,55,0.0428,0.782,0.825,0.378,0.1,-8.605,0.0436,98.273,4
6,Baby I Don’t Know Oh Oh (feat. Charles Jones),Mr Finish Line,Vulfpeck,2017-11-07,208954,53,0.193,0.638,0.477,0.000153,0.358,-6.144,0.055,112.737,4
7,Darwin Derby,Hill Climber,Vulfpeck,2018-12-07,195419,50,0.043,0.815,0.759,0.0,0.331,-6.43,0.0767,117.92,4
8,Cory Wong,The Beautiful Game,Vulfpeck,2016-10-17,246910,51,0.0894,0.621,0.6,0.571,0.813,-9.192,0.138,127.508,4
9,Smile Meditation,Thrill of the Arts,Vulfpeck,2015-10-09,269335,49,0.738,0.818,0.269,0.731,0.102,-13.989,0.051,102.634,4
10,LAX,"The Joy of Music, The Job of Real Estate",Vulfpeck,2020-10-23,225665,53,0.00521,0.8,0.599,0.00547,0.0587,-7.357,0.0344,128.381,4
11,Fugue State,Fugue State,Vulfpeck,2014-08-26,161852,48,0.111,0.778,0.465,0.88,0.094,-10.196,0.0422,105.354,4
12,Disco Ulysses (Instrumental),Hill Climber,Vulfpeck,2018-12-07,231084,50,0.0422,0.74,0.707,0.888,0.0909,-10.464,0.0539,133.715,4
13,Funky Duck,Thrill of the Arts,Vulfpeck,2015-10-09,130770,48,0.306,0.805,0.772,0.00112,0.103,-6.402,0.115,81.711,4
14,Beastly,Mit Peck,Vulfpeck,2011-12-20,250650,47,0.795,0.651,0.671,0.821,0.106,-12.195,0.0472,78.183,4
15,Test Drive (Instrumental),"The Joy of Music, The Job of Real Estate",Vulfpeck,2020-10-23,177968,48,0.144,0.828,0.792,0.893,0.108,-10.222,0.039,130.204,4
16,Lonely Town,Hill Climber,Vulfpeck,2018-12-07,174614,47,0.0667,0.908,0.644,3.24e-06,0.123,-7.964,0.0429,100.401,4
17,Walkies,Thrill of the Arts,Vulfpeck,2015-10-09,63450,48,0.302,0.8,0.499,0.899,0.101,-12.82,0.0505,122.953,4
18,"Birds of a Feather, We Rock Together (feat. Antwaun Stanley)",Mr Finish Line,Vulfpeck,2017-11-07,285349,48,0.885,0.733,0.246,0.00026,0.606,-12.866,0.133,80.0,4
19,Aunt Leslie,The Beautiful Game,Vulfpeck,2016-10-17,229395,47,0.627,0.663,0.535,0.218,0.131,-9.685,0.0563,117.716,4
20,Love Is a Beautiful Thing,Hill Climber,Vulfpeck,2018-12-07,233314,48,0.32,0.805,0.314,1.28e-06,0.112,-11.009,0.0616,114.353,4
21,Rango II,Thrill of the Arts,Vulfpeck,2015-10-09,251366,46,0.705,0.761,0.252,0.926,0.199,-11.605,0.0452,76.346,4
