,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,"A Love Supreme, Pt. I – Acknowledgement",A Love Supreme,John Coltrane,1965-02,462866,50,0.37,0.485,0.37,0.586,1.96e-06,0.348,-13.468,0.0581,121.573,4
1,Giant Steps - 2020 Remaster,Giant Steps (60th Anniversary Super Deluxe Edition) [2020 Remaster],John Coltrane,2020-09-18,287843,42,0.417,0.186,0.417,0.42,0.00111,0.185,-13.046,0.06,147.143,4
2,Blue World,Blue World,John Coltrane,2019-08-16,368253,45,0.477,0.732,0.477,0.733,0.0756,0.153,-8.301,0.0682,120.42,3
3,My Favorite Things,My Favorite Things (Deluxe Edition),John Coltrane,1961,824133,55,0.277,0.694,0.277,0.242,0.464,0.113,-18.442,0.0342,175.384,3
4,My One And Only Love,John Coltrane & Johnny Hartman,John Coltrane,1963,294306,54,0.466,0.984,0.466,0.0718,0.000931,0.107,-17.999,0.0375,121.769,4
5,Equinox,Naima,John Coltrane,2018-05-17,487279,43,0.62,0.798,0.62,0.203,0.501,0.0649,-15.599,0.0341,116.8,4
6,Untitled Original 11383 - Take 1,Both Directions At Once: The Lost Album (Deluxe Version),John Coltrane,2018-06-29,341213,40,0.429,0.706,0.429,0.368,1.96e-06,0.294,-14.071,0.0404,111.348,4
7,Nature Boy,Both Directions At Once: The Lost Album (Deluxe Version),John Coltrane,2018-06-29,204013,39,0.544,0.369,0.544,0.339,0.0248,0.0986,-15.159,0.0378,107.115,3
8,I Love You - Rudy Van Gelder Remaster,Lush Life,John Coltrane,1961,330733,37,0.51,0.861,0.51,0.492,0.584,0.106,-7.481,0.0606,81.519,4
9,Theme For Ernie,Soultrane (Rudy Van Gelder),John Coltrane,1958,293240,0,0.456,0.985,0.456,0.189,0.566,0.104,-10.256,0.0383,126.933,4
10,Afro-Blue - Live At The Half Note,"One Down, One Up: Live At The Half Note",John Coltrane,2005-01-01,764133,36,0.334,0.0997,0.334,0.597,0.211,0.35,-12.919,0.05,145.918,4
11,How Deep Is The Ocean,Interplay [Box Set],John Coltrane,2007-01-01,906386,0,0.532,0.935,0.532,0.095,0.145,0.0765,-14.636,0.0448,101.659,4
12,Slow Dance,Traneing In [Rudy Van Gelder edition] (Remastered),John Coltrane,1957,324826,0,0.479,0.922,0.479,0.119,0.779,0.113,-15.314,0.0381,105.012,4
13,Violets For Your Furs - Rudy Van Gelder Remaster,Coltrane [Rudy Van Gelder Remaster] (RVGエディション),John Coltrane,1957,375066,0,0.587,0.958,0.587,0.236,0.568,0.104,-8.655,0.0323,68.2,4
14,Aisha,Olé Coltrane (Deluxe Edition),John Coltrane,1962-02,465200,38,0.393,0.823,0.393,0.183,0.117,0.106,-15.203,0.035,168.035,3
15,It's Easy To Remember,Ballads (Deluxe Edition),John Coltrane,1963,167920,0,0.463,0.912,0.463,0.128,0.019,0.088,-11.48,0.0353,129.42,4
16,Time After Time,Stardust [Rudy Van Gelder edition] (RVGエディション),John Coltrane,1963,461626,0,0.605,0.946,0.605,0.23,0.544,0.152,-10.24,0.0358,91.495,4
17,Lonnie's Lament,Crescent,John Coltrane,1964-01-01,707933,0,0.502,0.883,0.502,0.228,0.113,0.141,-15.801,0.037,107.823,4
18,Everytime We Say Goodbye,My Favorite Things (Deluxe Edition),John Coltrane,1961,345266,42,0.447,0.803,0.447,0.121,0.777,0.0695,-21.562,0.0378,121.761,4
19,26-2,Coltrane's Sound,John Coltrane,1964-06,373000,34,0.576,0.511,0.576,0.32,3.69e-05,0.253,-16.74,0.0338,97.637,4
20,After The Rain,Impressions,John Coltrane,1963-01-01,249453,0,0.329,0.983,0.329,0.0556,0.176,0.145,-18.713,0.0363,124.905,4
21,I'm Old Fashioned - Remastered 2003/Rudy Van Gelder Edition,Blue Train (Expanded Edition),John Coltrane,1958,477760,51,0.394,0.931,0.394,0.23,0.497,0.0662,-10.475,0.0348,78.319,4
22,Central Park West,Naima,John Coltrane,2018-05-17,251293,35,0.311,0.955,0.311,0.0312,0.855,0.0965,-21.88,0.036,73.467,4
23,In A Sentimental Mood,Duke Ellington & John Coltrane,Duke Ellington,1963-02,255226,0,0.464,0.936,0.464,0.305,0.0846,0.208,-12.435,0.0316,108.231,4
24,Mr. P.C.,Giant Steps (Deluxe Edition),John Coltrane,1960,423160,41,0.475,0.466,0.475,0.541,1.24e-05,0.319,-11.89,0.0749,131.121,4
25,"A Love Supreme, Pt. IV - Psalm",A Love Supreme,John Coltrane,1965-02,422906,41,0.381,0.897,0.381,0.313,0.0432,0.135,-11.852,0.0312,127.106,4
26,"Ruby, My Dear",Thelonious Monk with John Coltrane (OJC Remaster),Thelonious Monk,1961,381520,0,0.474,0.96,0.474,0.131,0.883,0.187,-14.809,0.0294,66.212,4
