,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Va pensiero,"Je n'aime pas Verdi, mais ça j'aime bien !",Giuseppe Verdi,2019-05-17,290613,35,0.24,0.976,0.24,0.157,0.924,0.108,-17.034,0.0382,68.828,4
1,"Zadok the Priest (Coronation Anthem No. 1, HWV 258)",Carmina Burana - The Greatest Classical Choir Pieces,Various Artists,2014-10-17,318000,0,0.291,0.877,0.291,0.0939,0.779,0.0799,-21.057,0.0342,102.084,4
2,"Turandot / Act 3: ""Nessun dorma!""",Puccini: Turandot - Highlights,Giacomo Puccini,1973-01-01,177333,63,0.212,0.963,0.212,0.301,0.0033,0.13,-12.505,0.0384,84.025,4
3,La Traviata / Act 1: Libiamo ne'lieti calici,Verdi: La Traviata,Giuseppe Verdi,1977-01-01,175506,56,0.424,0.962,0.424,0.214,2.9e-05,0.681,-17.688,0.0763,113.211,4
4,"Rigoletto / Act 3: ""La donna è mobile""",Pavarotti Forever,Luciano Pavarotti,1997-01-01,142173,59,0.369,0.959,0.369,0.21,4.53e-05,0.0905,-13.552,0.0437,131.714,3
5,"Puccini: Madama Butterfly, Act 2: ""Un bel di vedremo"" (Butterfly)",Puccini: Madama Butterfly (1955 - Karajan) - Callas Remastered,Giacomo Puccini,1955,287906,48,0.207,0.991,0.207,0.17,0.0243,0.0804,-11.784,0.0404,77.235,3
6,"Il Trovatore / Act 2: ""Vedi! le fosche notturne spoglie"" (Anvil Chorus)",Verdi: Il Trovatore,Giuseppe Verdi,1977-01-01,170426,43,0.441,0.883,0.441,0.347,0.0173,0.506,-13.472,0.0402,130.49,4
7,"La Bohème / Act 1: ""Che gelida manina""",Romantic Arias,Jonas Kaufmann,2008-01-01,306906,38,0.157,0.988,0.157,0.282,0.147,0.112,-11.784,0.0484,68.155,4
8,Il barbiere di Siviglia (The Barber of Seville): Act I Cavatina: Largo al factotum della citta (Figaro),Rossini: The Barber of Seville (Highlights),Gioachino Rossini,1997-07-24,276973,34,0.388,0.973,0.388,0.301,0.221,0.0692,-17.959,0.186,77.175,4
9,O Mio Babbino Caro,A Room With A View,Richard Robbins,1986,150133,52,0.246,0.985,0.246,0.125,0.000112,0.262,-17.825,0.0431,111.735,4
10,Caruso,Pavarotti Forever,Luciano Pavarotti,1997-01-01,318666,55,0.332,0.835,0.332,0.23,4.49e-05,0.107,-12.146,0.0338,99.573,4
11,Time to Say Goodbye (Con te partirò),Romanza (Remastered),Andrea Bocelli,1997-01-27,245626,0,0.237,0.876,0.237,0.476,0.00217,0.0962,-6.96,0.0326,105.54,4
12,'O sole mio (Arr. Chiaramello),Pavarotti Forever,Luciano Pavarotti,1997-01-01,202173,54,0.239,0.944,0.239,0.297,0.228,0.117,-13.824,0.0367,139.801,3
13,"Rinaldo, HWV 7a / Act 2: ""Lascia ch'io pianga""",Handel: Rinaldo (Original 1711 Version),George Frideric Handel,2000-10-16,285333,46,0.198,0.981,0.198,0.0664,0.00476,0.129,-24.115,0.0698,175.541,3
14,"Bizet: Carmen, WD 31, Act 1 Scene 4: No. 5, Havanaise, ""L'amour est un oiseau rebelle"" (Carmen, Chorus)",Bizet: Carmen,Georges Bizet,1964,262146,51,0.363,0.976,0.363,0.115,0.0,0.0992,-17.325,0.0689,134.424,4
15,"The Flower Duet (From ""Lakmé"")",Katherine Jenkins / From The Heart,Katherine Jenkins,2006-01-01,230933,53,0.32,0.963,0.32,0.291,0.000457,0.102,-12.972,0.0394,102.281,5
16,"Die Zauberflöte, K.620 / Act 2: ""Der Hölle Rache kocht in meinem Herzen""",Mozart: Die Zauberflöte,Wolfgang Amadeus Mozart,2005-01-24,174120,47,0.549,0.971,0.549,0.108,0.0195,0.114,-17.948,0.135,71.029,4
17,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scène (Moderato)",Tchaikovsky: Swan Lake,Pyotr Ilyich Tchaikovsky,1976,166866,64,0.136,0.911,0.136,0.164,0.916,0.109,-18.756,0.0364,58.303,4
18,"Lakmé / Act 1: ""Viens, Mallika, ... Dôme épais"" (Flower Duet)",Delibes: Lakmé - Highlights,Léo Delibes,1968-01-01,363493,40,0.23,0.976,0.23,0.0596,3.54e-05,0.413,-22.228,0.0434,83.771,3
19,"Tchaikovsky: The Nutcracker, Op. 71, Act 2: No. 13 Waltz of the Flowers",Tchaikovsky: The Nutcracker,Pyotr Ilyich Tchaikovsky,2010-10-11,415813,58,0.15,0.944,0.15,0.128,0.93,0.0703,-20.46,0.0459,46.771,3
20,"La Bohème / Act 1: ""O soave fanciulla""",Puccini: La Bohème,Giacomo Puccini,1973-01-01,252453,46,0.244,0.974,0.244,0.174,0.0485,0.105,-16.742,0.0424,84.824,4
21,"Tosca / Act 1: ""Recondita armonia""",Nessun Dorma - Puccini's Greatest Arias,Giacomo Puccini,1993-01-01,176640,24,0.219,0.95,0.219,0.239,0.00191,0.32,-15.09,0.0392,82.532,4
22,"Tosca / Act 3: ""E lucevan le stelle""",Puccini: Tosca - Highlights,Giacomo Puccini,1979-01-01,176106,0,0.213,0.979,0.213,0.153,0.012,0.0854,-17.132,0.0409,80.332,4
23,"La fille du régiment / Act 1: ""Ah mes amis - Pour mon âme""",The Pavarotti Story (4 CDs),Luciano Pavarotti,2007-01-01,414160,0,0.427,0.963,0.427,0.307,0.0326,0.0714,-13.458,0.0529,132.378,4
24,Live Like Horses - Live Finale Version,Pavarotti & Friends for War Child,Various Artists,1996-01-01,299426,0,0.401,0.67,0.401,0.454,8.38e-05,0.72,-8.358,0.0331,131.965,4
25,L'ultima canzone,Mattinata,Luciano Pavarotti,1983-01-01,255506,34,0.236,0.976,0.236,0.185,0.000134,0.118,-16.594,0.0425,71.718,4
26,"L'elisir d'amore / Act 2: ""Una furtiva lagrima""",Donizetti:L'elisir d'amore - Highlights,Gaetano Donizetti,1992-01-01,251506,41,0.21,0.965,0.21,0.0903,6.84e-06,0.097,-24.767,0.0464,85.586,3
27,"Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro",Mozart: Kleine Nachtmusik (Eine) / Serenata Notturna / Divertimento No. 10,Wolfgang Amadeus Mozart,1988-02-05,351493,57,0.492,0.948,0.492,0.136,0.893,0.0726,-18.839,0.0463,135.786,4
28,"Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 1. Allegro",Piano Book (Deluxe Edition),Lang Lang,2019-03-29,294466,59,0.315,0.982,0.315,0.211,0.924,0.147,-22.835,0.0384,120.39,4
29,"Symphony No.25 in G minor, K.183: 1. Allegro con brio","Mozart: Symphony No. 40, 41 & 25",Wolfgang Amadeus Mozart,2008-01-01,461000,35,0.441,0.989,0.441,0.176,0.888,0.108,-15.719,0.0376,79.599,4
30,"Serenade in B-Flat Major, K. 361 ""Gran Partita"": III. Adagio","Mozart: Serenade in B Flat - ""Gran Partita""; Serenade in E Flat",Wolfgang Amadeus Mozart,2005-01-01,330293,53,0.191,0.991,0.191,0.0363,0.924,0.141,-25.31,0.0409,69.754,4
31,"Le nozze di Figaro, K. 492: Sinfonia",Mozart: Nozze Di Figaro (Le) (The Marriage of Figaro),Wolfgang Amadeus Mozart,2004-05-08,244560,53,0.313,0.944,0.313,0.144,0.92,0.181,-17.316,0.0368,145.162,4
